,week,customer.no.schools,employee.no.schools,total.schools,p.cust.no.schools,p.emp.no.schools,p.tot.no.schools,customer.schools,employee.schools,total.schools.1,p.tot.schools
0,2020-02-24,1339336,188616,1527952,1,1,1,111323,32631,143954,1
1,2020-03-02,1121286,158826,1280112,0.83719544610165,0.84206005853162,0.837795951705289,95360,33141,128501,0.892653208663879
2,2020-03-09,945832,136969,1082801,0.706194711409236,0.726179115239428,0.708661659528572,55866,24355,80221,0.557268294038373
3,2020-03-16,595055,111906,706961,0.444291051685313,0.593300674386054,0.462685346136528,15391,3955,19346,0.134390152409798
4,2020-03-23,465217,105328,570545,0.347348984870115,0.558425584255843,0.373405054609045,10043,3304,13347,0.09271711796824
5,2020-03-30,429885,79969,509854,0.320968748693382,0.423977817364381,0.333684566007309,8943,2199,11142,0.077399724912125
6,2020-04-06,430155,73981,504136,0.321170341124259,0.392230775756033,0.329942301852414,9938,2240,12178,0.084596468316268
7,2020-04-13,436412,75976,512388,0.325842059050156,0.40280782118166,0.335342995067908,9889,2264,12153,0.08442280172833
8,2020-04-20,455140,86138,541278,0.339825107366635,0.45668448063791,0.354250657088704,10217,2540,12757,0.088618586492908
9,2020-04-27,473142,83397,556539,0.353266096035648,0.442152309454129,0.364238536289098,10762,2570,13332,0.092612918015477
10,2020-05-04,540148,79094,619242,0.403295364270056,0.419338762353141,0.405275820182833,11432,2469,13901,0.096565569556942
11,2020-05-11,521048,86990,608038,0.389034566382148,0.461201594774568,0.397943129103532,11667,2655,14322,0.099490114897815
12,2020-05-18,541293,90899,632192,0.404150265504698,0.48192624167621,0.413751217315727,11735,2694,14429,0.100233407894188
13,2020-05-25,531408,85476,616884,0.39676974261873,0.453174704160835,0.403732577986743,11148,2610,13758,0.095572196673938
14,2020-06-01,611123,87889,699012,0.456288041238345,0.465967892437545,0.457482957579819,14230,2656,16886,0.117301360156717